日期,时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,成交状态,最新成交时间
2014-01-07,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1299.5831份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1463.4259份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1055.3683份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1106.352份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1299.5831份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1463.4259份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1055.3683份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1106.352份,-,-,0,委托中,None
2014-01-07,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1281.7573份,0.768,983.749,1281.7573份,-,-,14.98,全部成交,2014-01-09 09:30:00
2014-01-07,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1443.5943份,0.680,981.644,1443.5943份,-,-,14.95,全部成交,2014-01-09 09:30:00
2014-01-07,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1040.6366份,0.946,984.442,1040.6366份,-,-,14.99,全部成交,2014-01-09 09:30:00
2014-01-07,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1107.4967份,0.773,856.316,1107.4967份,-,-,0,全部成交,2014-01-09 09:30:00
2014-01-14,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1316.3345份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1476.0481份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1075.587份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1143.8762份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1316.3345份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1476.0481份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1075.587份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1143.8762份,-,-,0,委托中,None
2014-01-14,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1286.5778份,0.764,983.074,1286.5778份,-,-,14.97,全部成交,2014-01-16 09:30:00
2014-01-14,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1445.3423份,0.679,981.387,1445.3423份,-,-,14.94,全部成交,2014-01-16 09:30:00
2014-01-14,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1048.1704份,0.939,984.232,1048.1704份,-,-,14.99,全部成交,2014-01-16 09:30:00
2014-01-14,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1126.8865份,0.761,857.335,1126.8865份,-,-,0,全部成交,2014-01-16 09:30:00
2014-01-21,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1329.0675份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1499.5291份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1080.7222份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1200.8212份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1329.0675份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1499.5291份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1080.7222份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1200.8212份,-,-,0,委托中,None
2014-01-21,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1294.8343份,0.760,984.074,1294.8343份,-,-,14.99,全部成交,2014-01-23 09:30:00
2014-01-21,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1466.0135份,0.670,982.229,1466.0135份,-,-,14.96,全部成交,2014-01-23 09:30:00
2014-01-21,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1055.3837份,0.933,984.673,1055.3837份,-,-,15,全部成交,2014-01-23 09:30:00
