日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价,保证金,当日盈亏,今手数,仓位占比
2014-01-02,,Cash,,,,,250000,,,,,,
2014-01-03,,Cash,,,,,250000,,,,,,
2014-01-06,,Cash,,,,,250000,,,,,,
2014-01-07,,Cash,,,,,250000,,,,,,
2014-01-08,,Cash,,,,,250000,,,,,,
2014-01-09,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,1281.76份,1281.7573份,0.768,984.26,-14.47,0.779,-,0,0.51,1281.7573份,0.39%
2014-01-09,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,1443.59份,1443.5943份,0.681,983.09,-13.51,0.690,-,0,1.44,1443.5943份,0.39%
2014-01-09,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1040.64份,1040.6366份,0.945,983.4,-16.03,0.960,-,0,-1.04,1040.6366份,0.39%
2014-01-09,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,1107.5份,1107.4967份,0.773,855.87,-0.44,0.773,-,0,-0.44,1107.4967份,0.34%
2014-01-09,,Cash,,,,,246148.93,,,,,,
2014-01-10,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,1281.76份,1281.7573份,0.764,979.39,-19.34,0.779,-,0,-4.87,0份,0.39%
2014-01-10,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,1443.59份,1443.5943份,0.678,978.76,-17.84,0.690,-,0,-4.33,0份,0.39%
2014-01-10,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1040.64份,1040.6366份,0.936,974.04,-25.4,0.960,-,0,-9.37,0份,0.39%
2014-01-10,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,1107.5份,1107.4967份,0.765,847.46,-8.86,0.773,-,0,-8.42,0份,0.34%
2014-01-10,,Cash,,,,,246148.93,,,,,,
2014-01-13,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,1281.76份,1281.7573份,0.761,975.42,-23.31,0.779,-,0,-3.97,0份,0.39%
2014-01-13,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,1443.59份,1443.5943份,0.677,977.31,-19.28,0.690,-,0,-1.44,0份,0.39%
2014-01-13,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1040.64份,1040.6366份,0.930,967.79,-31.64,0.960,-,0,-6.24,0份,0.39%
2014-01-13,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,1107.5份,1107.4967份,0.757,837.93,-18.38,0.773,-,0,-9.52,0份,0.34%
2014-01-13,,Cash,,,,,246148.93,,,,,,
2014-01-14,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,1281.76份,1281.7573份,0.758,971.83,-26.9,0.779,-,0,-3.59,0份,0.39%
2014-01-14,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,1443.59份,1443.5943份,0.675,974.43,-22.17,0.690,-,0,-2.89,0份,0.39%
2014-01-14,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1040.64份,1040.6366份,0.929,966.75,-32.68,0.960,-,0,-1.04,0份,0.39%
2014-01-14,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,1107.5份,1107.4967份,0.750,830.07,-26.25,0.773,-,0,-7.86,0份,0.33%
2014-01-14,,Cash,,,,,246148.93,,,,,,
