时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2014-01-02 16:00:00,1.33,0,0,0,0,0
2014-01-03 16:00:00,0.98,0,0,0,0,0
2014-01-06 16:00:00,-0.38,0,0,0,0,0
2014-01-07 16:00:00,-2.64,0,0,0,0,0
2014-01-08 16:00:00,-2.67,0,0,0,0,0
2014-01-09 16:00:00,-2.5,-0.02,0,-44.45,3806.15,0
2014-01-10 16:00:00,-3.36,-0.03,0,-26.98,0,0
2014-01-13 16:00:00,-4.11,-0.04,0,-21.19,0,0
2014-01-14 16:00:00,-4.6,-0.04,0,-15.38,0,0
2014-01-15 16:00:00,-3.77,-0.03,36.26,0,0,0
2014-01-16 16:00:00,-3.94,-0.05,0,-65.46,3806.03,0
2014-01-17 16:00:00,-3.81,-0.05,15.9,0,0,0
2014-01-20 16:00:00,-5.26,-0.08,0,-90.24,0,0
2014-01-21 16:00:00,-5.8,-0.1,0,-32.78,0,0
2014-01-22 16:00:00,-4.87,-0.07,70.35,0,0,0
2014-01-23 16:00:00,-2.42,0.02,230.8,0,3850.51,0
2014-01-24 16:00:00,-2.94,-0,0,-58.57,0,0
2014-01-27 16:00:00,-2.34,0.02,60.17,0,0,0
2014-01-28 16:00:00,-3.63,-0.03,0,-121.88,0,0
2014-01-29 16:00:00,-3.46,-0.01,29.62,0,0,0
2014-01-30 16:00:00,-3.12,-0.01,19.59,0,3766.44,0
2014-02-07 16:00:00,-4.22,-0.07,0,-154.2,0,0
2014-02-10 16:00:00,-3.78,-0.04,71.89,0,0,0
2014-02-11 16:00:00,-1.39,0.09,323.2,0,0,0
2014-02-12 16:00:00,-0.6,0.13,104.97,0,0,0
2014-02-13 16:00:00,-0.36,0.14,17.66,0,3619.48,0
2014-02-14 16:00:00,-0.87,0.1,0,-90.96,0,0
2014-02-17 16:00:00,-0.17,0.14,104.08,0,0,0
2014-02-18 16:00:00,0.53,0.2,148.7,0,0,0
2014-02-19 16:00:00,-0.74,0.13,0,-178.05,0,0
2014-02-20 16:00:00,0.4,0.22,215.96,0,3607.99,0
2014-02-21 16:00:00,-0.52,0.16,0,-144.19,0,0
2014-02-24 16:00:00,-1.53,0.06,0,-248.96,0,0
2014-02-25 16:00:00,-3.69,-0.14,0,-512.02,0,0
2014-02-26 16:00:00,-6.16,-0.34,0,-496.76,0,0
2014-02-27 16:00:00,-5.92,-0.32,42.26,0,3860.38,0
2014-02-28 16:00:00,-6.32,-0.35,0,-59,0,0
2014-03-03 16:00:00,-5.24,-0.27,200.77,0,0,0
2014-03-04 16:00:00,-4.74,-0.21,153.62,0,0,0
2014-03-05 16:00:00,-5.01,-0.24,0,-72.63,0,0
2014-03-06 16:00:00,-5.89,-0.34,0,-255.77,3804.62,0
2014-03-07 16:00:00,-5.47,-0.26,182.42,0,0,0
2014-03-10 16:00:00,-5.7,-0.31,0,-110.58,0,0
2014-03-11 16:00:00,-8.77,-0.67,0,-913.33,0,0
2014-03-12 16:00:00,-8.3,-0.63,117.5,0,0,0
2014-03-13 16:00:00,-8.06,-0.59,88.4,0,3869.25,0
2014-03-14 16:00:00,-6.92,-0.44,368.45,0,0,0
2014-03-17 16:00:00,-7.68,-0.52,0,-197.4,0,0
2014-03-18 16:00:00,-6.8,-0.39,344.61,0,0,0
2014-03-19 16:00:00,-7.02,-0.4,0,-41.56,0,0
2014-03-20 16:00:00,-7.77,-0.49,0,-209.85,3830.21,0
2014-03-21 16:00:00,-9.24,-0.7,0,-547.46,0,0
2014-03-24 16:00:00,-6.12,-0.24,1165.75,0,0,0
2014-03-25 16:00:00,-5.35,-0.09,383,0,0,0
2014-03-26 16:00:00,-5.44,-0.1,0,-48.56,0,0
2014-03-27 16:00:00,-5.58,-0.15,0,-111.99,3797.71,0
2014-03-28 16:00:00,-6.25,-0.25,0,-260,0,0
2014-03-31 16:00:00,-6.41,-0.29,0,-80.54,0,0
2014-04-01 16:00:00,-6.66,-0.31,0,-48.91,0,0
2014-04-02 16:00:00,-5.93,-0.17,327.86,0,0,0
2014-04-03 16:00:00,-5.16,-0.01,422.88,0,3825.72,0
2014-04-04 16:00:00,-5.85,-0.19,0,-455.34,0,0
2014-04-08 16:00:00,-4.96,-0.04,379.05,0,0,0
2014-04-09 16:00:00,-2.7,0.32,887.54,0,0,0
2014-04-10 16:00:00,-2.65,0.32,0,-7.73,3654.3,0
2014-04-11 16:00:00,-1.12,0.58,649.59,0,0,0
2014-04-14 16:00:00,-1.25,0.57,0,-21.79,0,0
2014-04-15 16:00:00,-1.34,0.54,0,-75.38,0,0
2014-04-16 16:00:00,-3.04,0.18,0,-889.58,0,0
2014-04-17 16:00:00,-2.91,0.18,0.63,0,3612.58,0
2014-04-18 16:00:00,-3.25,0.11,0,-172.52,0,0
2014-04-21 16:00:00,-3.26,0.1,0,-30.04,0,0
2014-04-22 16:00:00,-4.88,-0.22,0,-807.09,0,0
2014-04-23 16:00:00,-4.46,-0.15,179.69,0,0,0
2014-04-24 16:00:00,-4.56,-0.18,0,-73.39,3731.15,0
2014-04-25 16:00:00,-4.74,-0.2,0,-51.68,0,0
2014-04-28 16:00:00,-5.72,-0.43,0,-578.16,0,0
2014-04-29 16:00:00,-7.15,-0.75,0,-786.36,0,0
2014-04-30 16:00:00,-6.13,-0.53,545.34,0,0,0
2014-05-05 16:00:00,-6.12,-0.53,0,-15.31,3863.43,0
2014-05-06 16:00:00,-6.22,-0.56,0,-75.47,0,0
2014-05-07 16:00:00,-6.18,-0.57,0,-10.22,0,0
2014-05-08 16:00:00,-7.05,-0.79,0,-542.35,3914.85,0
2014-05-09 16:00:00,-7.13,-0.79,0,-5.54,0,0
2014-05-12 16:00:00,-7.2,-0.84,0,-142.07,0,0
2014-05-13 16:00:00,-5.19,-0.29,1381.8,0,0,0
2014-05-14 16:00:00,-5.42,-0.35,0,-154.85,0,0
2014-05-15 16:00:00,-5.53,-0.38,0,-63.93,3849.68,0
2014-05-16 16:00:00,-6.76,-0.7,0,-794.42,0,0
2014-05-19 16:00:00,-6.68,-0.65,127.26,0,0,0
2014-05-20 16:00:00,-8.02,-0.94,0,-723.75,0,0
2014-05-21 16:00:00,-7.99,-0.94,0,-19.69,0,0
2014-05-22 16:00:00,-7.11,-0.71,592.31,0,3921.23,0
